goal_id,user_id,goal_name,target_amount,current_amount,target_date,created_at
"4a190dd1-6471-4e68-b5ab-2d814b487b10","e4f3b8c4-0b1b-4b3d-8e1a-6d1b6a7f8c9a","Retirement Fund",50000.00,10000.00,"2030-01-01","2022-01-01 12:00:00"
"394bfb39-f4c4-47c1-82e2-152c493ab47d","6a7f8c9a-e4f3-0b1b-4b3d-8e1a-6d1b8c4","Vacation Fund",3000.00,500.00,"2023-06-01","2022-01-02 08:00:00"
"88383ac0-1635-477b-b63c-f06ed0389371","e4f3b8c4-0b1b-4b3d-8e1a-6d1b6a7f8c9a","Emergency Fund",10000.00,2000.00,"2023-12-31","2022-01-03 10:00:00"
"92ed3199-9000-4d1a-8f39-30d8e47dd6d4","6a7f8c9a-e4f3-0b1b-4b3d-8e1a-6d1b8c4","House Down Payment",50000.00,10000.00,"2025-01-01","2022-01-04 09:00:00"
"6d45e20c-44dc-467e-8102-d12b7d1a1896","e4f3b8c4-0b1b-4b3d-8e1a-6d1b6a7f8c9a","Car Fund",15000.00,3000.00,"2024-08-01","2022-01-05 14:00:00"
"b989b3d5-af90-48d4-a9e4-6d24f0f63a0d","6a7f8c9a-e4f3-0b1b-4b3d-8e1a-6d1b8c4","Education Fund",20000.00,4000.00,"2026-01-01","2022-01-06 11:00:00"
"2c75087b-6741-459f-8837-450b39d7b5e5","e4f3b8c4-0b1b-4b3d-8e1a-6d1b6a7f8c9a","Travel Fund",8000.00,1500.00,"2023-12-01","2022-01-07 16:00:00"
"6e1a10d1-9a4d-42fc-bb58-5d37d383e88b","6a7f8c9a-e4f3-0b1b-4b3d-8e1a-6d1b8c4","Investment Fund",50000.00,10000.00,"2030-01-01","2022-01-08 13:00:00"
"0b649ef6-d9f2-4f8e-a349-2c8d3b14e6ec","e4f3b8c4-0b1b-4b3d-8e1a-6d1b6a7f8c9a","Health Fund",10000.00,2000.00,"2023-06-01","2022-01-09 18:00:00"
"2b75a7b4-8601-42cd-8f7d-8884b1b376f4","6a7f8c9a-e4f3-0b1b-4b3d-8e1a-6d1b8c4","Charity Fund",5000.00,1000.00,"2022-12-01","2022-01-10 15:00:00"
